Team,Group,"First match against","Second match against","Third match against","Fourth match against","Previous titles","Previous finals",
Argentina,A,Chile,Uruguay,Paraguay,Bolivia,14,28,
Bolivia,A,Paraguay,Chile,Uruguay,Argentina,1,2,
Uruguay,A,Argentina,Chile,Bolivia,Paraguay,15,21,
Chile,A,Argentina,Bolivia,Uruguay,Paraguay,2,6,
Paraguay,A,Bolivia,Argentina,Chile,Uruguay,2,8,
Colombia,B,Ecuador,Venezuela,Peru,Brazil,1,2,
Brazil,B,Venezuela,Peru,Colombia,Ecuador,9,20,
Venezuela,B,Brazil,Colombia,Ecuador,Peru,0,0,
Ecuador,B,Colombia,Venezuela,Peru,Brazil,0,0,
Peru,B,Brazil,Colombia,Ecuador,Venezuela,2,3,
